district,state,flood_event_count,avg_flood_duration,max_flood_duration,median_flood_duration,std_flood_duration,total_area_affected,avg_area_affected,total_human_fatalities,total_human_injuries,total_human_displaced,total_animal_fatalities,severe_event_count,percent_flooded_area,permanent_water,corrected_percent_flooded_area,population,impact_mean_flood_duration,impact_human_fatalities,impact_human_injuries,dfsi,risk_class
Gandhinagar,GUJARAT,19,26.0,122.0,14.0,35.55590277608238,0.0,,1156.0,40.0,0.0,17876.0,0.0,1.280221069,0.000328815,1.279892254,1324292.0,25.0,49.0,2.0,14.150495722380777,High
Nayagarh,ODISHA,19,14.894736842105264,31.0,14.0,10.928529111367718,0.0,,623.0,1.0,0.0,87266.0,0.0,4.840654376,0.392848482,4.447805894,1012257.0,29.0,36.0,0.0,14.147611779485713,High
Nandurbar,MAHARASHTRA,19,2.8947368421052633,10.0,3.0,2.1575381248622043,0.0,,235.0,31.0,0.0,2110.0,0.0,1.936180535,1.1061674,0.830013135,2039682.0,4.0,43.0,6.0,14.135883571377343,High
Karnal,HARYANA,21,5.0476190476190474,21.0,2.0,5.740001659200026,0.0,,200.0,22.0,0.0,300.0,0.0,3.351988487,0.003219511,3.348768976,1700198.0,6.0,27.0,7.0,14.130339778285856,High
South Salmara Mancachar,ASSAM,46,12.41304347826087,93.0,1.0,18.9286098414913,0.0,,1255.0,49.0,0.0,3275593.0,0.0,28.02392571,10.81288284,17.21104287,533060.0,16.0,39.0,1.0,14.088728871221644,High
Jamui,BIHAR,18,19.72222222222222,85.0,14.5,20.6363629819836,0.0,,2684.0,0.0,0.0,755.0,0.0,0.5711396,0.157890825,0.413248775,2203798.0,29.0,80.0,0.0,14.080780697205766,High
Baghpat,UTTAR PRADESH,14,14.714285714285714,89.0,7.5,23.153097720735644,0.0,,1690.0,0.0,0.0,6941.0,0.0,4.30209073,0.0,4.30209073,1340897.0,26.0,58.0,0.0,14.060014261552078,High
Reasi,JAMMU & KASHMIR,5,1.0,1.0,1.0,0.0,0.0,,8.0,5.0,0.0,36.0,0.0,1.749523708,0.510462262,1.239061446,394393.0,5.0,63.0,18.0,14.047250900942071,High
Ujjain,MADHYA PRADESH,17,3.3529411764705883,14.0,2.0,3.334313581357268,0.0,,171.0,13.0,0.0,2150.0,0.0,0.752619653,0.044407032,0.708212621,2261682.0,4.0,50.0,3.0,14.028002398535865,Moderate
Shamli,UTTAR PRADESH,13,12.76923076923077,89.0,1.0,24.21485028570225,0.0,,1582.0,22.0,0.0,3958.0,0.0,1.857718186,0.0,1.857718186,1373173.0,26.0,44.0,3.0,14.024477523954967,Moderate
Thiruvarur,TAMIL NADU,22,5.045454545454546,16.0,3.0,5.214241238024157,0.0,,811.0,157.0,0.0,4195.0,0.0,2.20727188,0.026905003,2.180366877,1412221.0,5.0,41.0,5.0,13.980877190636448,Moderate
Bhadohi,UTTAR PRADESH,10,17.0,89.0,10.5,26.486894033758574,0.0,,1667.0,0.0,0.0,4032.0,0.0,12.0892717,1.079228201,11.0100435,1805095.0,30.0,36.0,0.0,13.979632076415218,Moderate
